Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Pre-demographic dividend,PRE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,141.936721116123,141.193264266074,140.462611871405,139.55860739348,138.651088130801,137.736182148914,136.814703492763,135.88249789003,134.635948186075,133.408269655927,132.208461424856,131.029126725376,129.872120172701,127.894997817671,125.893182996626,123.85524272902,121.767514517932,119.659650953457,117.468374216075,115.290490736471,113.141618546237,111.021390804945,108.928808496817,107.124923531955,..,..
Post-demographic dividend,PST,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,26.8950880708037,26.2160098896886,25.5042997597846,24.9260195093344,24.3393064206797,23.7501650686977,23.1375181107824,22.5193825752781,22.4577039048669,22.3712335954536,22.2425551450251,22.0327509355012,21.790144562391,20.7638401597411,19.7167638706325,18.6595452181226,17.604254776593,16.523128037495,15.7265650555508,14.9345679995352,14.1571417784183,13.3974612814477,12.6489661926784,12.0591187387328,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 09/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
